river,n_cell,value,sd,measure,buffer,year,source
Nishibetsu,332,10.0986293,2.604192513,sst,50km,2019,modis
Onnebetsu,325,10.88903054,1.413391732,sst,50km,2019,modis
Okushibetsu,40,13.95962462,3.053485045,sst,50km,2019,modis
Yamubetsu,51,12.20078395,2.876630423,sst,50km,2019,modis
Horonai,271,10.9698706,1.976982302,sst,50km,2019,modis
Shimonaefutoro,375,10.71499978,2.361864788,sst,50km,2019,modis
Masuhoro,102,11.40627423,1.739902323,sst,50km,2019,modis
Nobusha,248,14.18465692,1.81736047,sst,50km,2019,modis
Shokanbetsu,30,14.05549974,0.634583021,sst,50km,2019,modis
Atsuta,119,13.93483163,1.930862861,sst,50km,2019,modis
Shakotan,377,13.91419068,1.421820529,sst,50km,2019,modis
Yobetsu,44,13.74693149,1.325316939,sst,50km,2019,modis
Furuu,44,14.42511324,1.50464371,sst,50km,2019,modis
Tomari,221,14.45092727,1.820195738,sst,50km,2019,modis
Chihase,24,14.39979136,0.913868219,sst,50km,2019,modis
Sukki,104,14.58173052,1.29721576,sst,50km,2019,modis
Toshibetsu,89,15.74881989,2.209036175,sst,50km,2019,modis
Futoro,20,15.1784997,1.047023451,sst,50km,2019,modis
Usubetsu,98,15.78647921,1.371332627,sst,50km,2019,modis
Kenichi,45,15.14611089,2.395743511,sst,50km,2019,modis
Toppu,39,15.80102527,1.74900641,sst,50km,2019,modis
Hime,9,16.02555519,0.938700442,sst,50km,2019,modis
Ishizaki,183,16.59811441,1.083197388,sst,50km,2019,modis
Ookamotsu,111,17.08581046,0.864123326,sst,50km,2019,modis
Kokamotsu,10,16.64949961,0.916800046,sst,50km,2019,modis
Mogusa,20,16.71574974,0.745736778,sst,50km,2019,modis
Oyobe,52,16.88490349,1.32706649,sst,50km,2019,modis
Shiotomari,273,14.81633664,2.449799302,sst,50km,2019,modis
Haraki,86,14.01680202,2.028388109,sst,50km,2019,modis
Hidakahorobetsu,296,10.42206059,1.581589109,sst,50km,2019,modis
