river,year_release,release_stage,abundance,abundance_unit
chihase,2019,smolt,150,thousand_fish
chihase,2020,fry,90,thousand_fish
chihase,2020,smolt,150,thousand_fish
furuu,1970,fry,200,thousand_fish
furuu,1971,fry,100,thousand_fish
furuu,1972,fry,208,thousand_fish
furuu,1973,fry,300,thousand_fish
furuu,1974,fry,300,thousand_fish
furuu,1975,fry,200,thousand_fish
furuu,1976,fry,200,thousand_fish
furuu,1977,fry,100,thousand_fish
furuu,1978,fry,174,thousand_fish
furuu,1979,fry,63,thousand_fish
furuu,1980,fry,112,thousand_fish
furuu,1981,fry,621,thousand_fish
furuu,1982,fry,420,thousand_fish
furuu,1983,fry,410,thousand_fish
furuu,1984,fry,40,thousand_fish
furuu,1985,fry,99,thousand_fish
furuu,1986,fry,152,thousand_fish
furuu,1987,fry,400,thousand_fish
furuu,1988,fry,168,thousand_fish
furuu,1989,fry,140,thousand_fish
furuu,1990,fry,150,thousand_fish
furuu,1991,fry,248,thousand_fish
furuu,1991,juvenile,44,thousand_fish
furuu,1992,fry,107,thousand_fish
furuu,1992,juvenile,75,thousand_fish
furuu,1993,fry,6,thousand_fish
furuu,1993,juvenile,40,thousand_fish
furuu,1994,fry,4,thousand_fish
furuu,1994,juvenile,40,thousand_fish
furuu,1995,fry,100,thousand_fish
furuu,1995,juvenile,30,thousand_fish
furuu,1996,fry,100,thousand_fish
furuu,1997,fry,110,thousand_fish
furuu,1997,juvenile,20,thousand_fish
furuu,1998,fry,105,thousand_fish
furuu,1999,fry,43,thousand_fish
furuu,2000,fry,226,thousand_fish
furuu,2000,juvenile,105,thousand_fish
furuu,2001,fry,225,thousand_fish
furuu,2001,juvenile,79.6,thousand_fish
furuu,2002,fry,158,thousand_fish
furuu,2002,juvenile,29.9,thousand_fish
furuu,2003,fry,192,thousand_fish
furuu,2003,juvenile,50,thousand_fish
furuu,2004,fry,156,thousand_fish
furuu,2004,juvenile,27.8,thousand_fish
furuu,2005,fry,181,thousand_fish
furuu,2006,fry,180,thousand_fish
furuu,2006,juvenile,30.6,thousand_fish
furuu,2007,fry,180,thousand_fish
furuu,2007,juvenile,90.6,thousand_fish
furuu,2007,smolt,19.5,thousand_fish
furuu,2008,fry,180,thousand_fish
furuu,2008,juvenile,40.1,thousand_fish
furuu,2008,smolt,62.5,thousand_fish
furuu,2009,fry,179,thousand_fish
furuu,2009,smolt,70.5,thousand_fish
furuu,2010,fry,180,thousand_fish
furuu,2010,smolt,63.1,thousand_fish
furuu,2011,fry,182,thousand_fish
furuu,2011,smolt,65.6,thousand_fish
furuu,2012,fry,180,thousand_fish
furuu,2012,juvenile,0.1,thousand_fish
furuu,2013,fry,180,thousand_fish
furuu,2013,juvenile,89.8,thousand_fish
furuu,2014,fry,180,thousand_fish
furuu,2014,juvenile,90,thousand_fish
furuu,2015,fry,180,thousand_fish
furuu,2015,juvenile,90,thousand_fish
furuu,2017,fry,180,thousand_fish
furuu,2017,juvenile,90,thousand_fish
furuu,2018,smolt,50,thousand_fish
furuu,2019,fry,180,thousand_fish
furuu,2019,juvenile,30,thousand_fish
furuu,2019,smolt,89,thousand_fish
furuu,2020,fry,180,thousand_fish
furuu,2020,smolt,127,thousand_fish
futoro,1986,fry,220,thousand_fish
futoro,1987,fry,270,thousand_fish
futoro,1988,fry,180,thousand_fish
futoro,1990,fry,780,thousand_fish
futoro,1992,fry,520,thousand_fish
futoro,1994,fry,150,thousand_fish
futoro,1994,smolt,5,thousand_fish
futoro,1995,fry,155,thousand_fish
futoro,1995,smolt,4.9,thousand_fish
futoro,1996,fry,51,thousand_fish
futoro,1996,smolt,5,thousand_fish
futoro,1997,fry,79,thousand_fish
futoro,1998,fry,78,thousand_fish
futoro,1998,smolt,32.9,thousand_fish
futoro,1999,fry,92,thousand_fish
futoro,2000,fry,50,thousand_fish
futoro,2001,fry,49,thousand_fish
futoro,2001,smolt,50,thousand_fish
futoro,2002,fry,55,thousand_fish
futoro,2002,smolt,50,thousand_fish
futoro,2003,fry,174,thousand_fish
futoro,2003,smolt,50,thousand_fish
futoro,2004,fry,115,thousand_fish
futoro,2004,smolt,50,thousand_fish
futoro,2005,fry,108,thousand_fish
futoro,2005,smolt,50,thousand_fish
futoro,2006,fry,166,thousand_fish
futoro,2006,smolt,50,thousand_fish
futoro,2007,fry,180,thousand_fish
futoro,2007,smolt,50,thousand_fish
futoro,2008,fry,120,thousand_fish
futoro,2008,smolt,50,thousand_fish
futoro,2009,fry,200,thousand_fish
futoro,2009,smolt,50,thousand_fish
futoro,2010,fry,50,thousand_fish
futoro,2010,smolt,50,thousand_fish
futoro,2011,fry,141,thousand_fish
futoro,2011,smolt,40,thousand_fish
futoro,2012,fry,125,thousand_fish
futoro,2012,smolt,27,thousand_fish
futoro,2013,fry,160,thousand_fish
futoro,2013,smolt,22,thousand_fish
futoro,2014,fry,90,thousand_fish
futoro,2014,smolt,5,thousand_fish
futoro,2019,fry,60,thousand_fish
haraki,1981,fry,37,thousand_fish
haraki,1982,fry,10,thousand_fish
haraki,1983,fry,10,thousand_fish
haraki,1985,fry,58,thousand_fish
haraki,1986,fry,60,thousand_fish
haraki,1987,fry,80,thousand_fish
haraki,1988,fry,80,thousand_fish
haraki,1989,fry,20,thousand_fish
hidakahorobetsu,1981,fry,250,thousand_fish
hidakahorobetsu,1982,fry,390,thousand_fish
hidakahorobetsu,1983,fry,390,thousand_fish
hidakahorobetsu,1984,fry,10,thousand_fish
hidakahorobetsu,1991,fry,271,thousand_fish
hidakahorobetsu,1992,fry,145,thousand_fish
hidakahorobetsu,1993,fry,104,thousand_fish
hidakahorobetsu,1994,fry,238,thousand_fish
hidakahorobetsu,1995,fry,106,thousand_fish
hidakahorobetsu,1996,fry,106,thousand_fish
hidakahorobetsu,1998,fry,178,thousand_fish
hidakahorobetsu,1999,fry,112,thousand_fish
hidakahorobetsu,2000,fry,35,thousand_fish
hidakahorobetsu,2001,fry,100,thousand_fish
hidakahorobetsu,2002,fry,90,thousand_fish
hidakahorobetsu,2003,fry,90,thousand_fish
hidakahorobetsu,2004,fry,103,thousand_fish
hime,1981,fry,30,thousand_fish
hime,1982,fry,41,thousand_fish
hime,1983,fry,41,thousand_fish
hime,1985,fry,20,thousand_fish
hime,1986,fry,70,thousand_fish
hime,1987,fry,100,thousand_fish
hime,1988,fry,100,thousand_fish
hime,1989,fry,50,thousand_fish
hime,1990,fry,50,thousand_fish
hime,1994,fry,10,thousand_fish
hime,1995,fry,110,thousand_fish
hime,1996,fry,51,thousand_fish
hime,1997,fry,51,thousand_fish
hime,1998,fry,40,thousand_fish
hime,2001,juvenile,10,thousand_fish
hime,2009,fry,131,thousand_fish
hime,2010,fry,40,thousand_fish
hime,2011,fry,135,thousand_fish
hime,2012,fry,90,thousand_fish
hime,2013,fry,126,thousand_fish
hime,2014,fry,72,thousand_fish
horonai,1955,fry,91,thousand_fish
horonai,1958,fry,0,thousand_fish
horonai,1959,fry,31,thousand_fish
horonai,1960,fry,30,thousand_fish
horonai,1961,fry,32,thousand_fish
horonai,1962,fry,70,thousand_fish
horonai,1963,fry,78,thousand_fish
horonai,1964,fry,28,thousand_fish
horonai,1967,fry,22,thousand_fish
horonai,1970,fry,5,thousand_fish
horonai,1976,fry,23,thousand_fish
horonai,1977,fry,22,thousand_fish
horonai,1978,fry,45,thousand_fish
horonai,1979,fry,6,thousand_fish
horonai,1982,fry,1,thousand_fish
horonai,1983,fry,1,thousand_fish
horonai,1984,fry,10,thousand_fish
horonai,1985,fry,6,thousand_fish
horonai,1994,juvenile,120,thousand_fish
horonai,1995,fry,0,thousand_fish
horonai,1995,juvenile,199,thousand_fish
horonai,1996,fry,218,thousand_fish
horonai,1996,juvenile,20,thousand_fish
horonai,1997,fry,273,thousand_fish
horonai,1997,juvenile,23,thousand_fish
horonai,1999,fry,305,thousand_fish
ishizaki,1981,fry,301,thousand_fish
ishizaki,1982,fry,180,thousand_fish
ishizaki,1983,fry,180,thousand_fish
ishizaki,1984,fry,197,thousand_fish
ishizaki,1985,fry,228,thousand_fish
ishizaki,1986,fry,550,thousand_fish
ishizaki,1987,fry,200,thousand_fish
ishizaki,1988,fry,220,thousand_fish
ishizaki,1989,fry,530,thousand_fish
ishizaki,1991,fry,700,thousand_fish
ishizaki,1993,fry,150,thousand_fish
ishizaki,1994,fry,150,thousand_fish
ishizaki,1995,fry,184,thousand_fish
ishizaki,1996,fry,101,thousand_fish
ishizaki,1997,fry,101,thousand_fish
ishizaki,1998,fry,78,thousand_fish
ishizaki,1999,fry,94,thousand_fish
ishizaki,2000,fry,50,thousand_fish
ishizaki,2001,fry,60,thousand_fish
ishizaki,2002,fry,69,thousand_fish
ishizaki,2002,smolt,72,thousand_fish
ishizaki,2003,fry,210,thousand_fish
ishizaki,2003,smolt,71.4,thousand_fish
ishizaki,2004,fry,134,thousand_fish
ishizaki,2004,smolt,71.4,thousand_fish
ishizaki,2005,fry,126,thousand_fish
ishizaki,2005,smolt,71.4,thousand_fish
ishizaki,2006,fry,140,thousand_fish
ishizaki,2006,smolt,71.4,thousand_fish
ishizaki,2007,fry,140,thousand_fish
ishizaki,2007,smolt,71.4,thousand_fish
ishizaki,2008,fry,140,thousand_fish
ishizaki,2008,smolt,71.4,thousand_fish
ishizaki,2009,fry,187,thousand_fish
ishizaki,2009,smolt,71.4,thousand_fish
ishizaki,2010,fry,50,thousand_fish
ishizaki,2010,smolt,50,thousand_fish
ishizaki,2011,fry,150,thousand_fish
ishizaki,2011,smolt,71.4,thousand_fish
ishizaki,2012,fry,120,thousand_fish
ishizaki,2012,smolt,45,thousand_fish
ishizaki,2013,fry,176,thousand_fish
ishizaki,2013,smolt,45,thousand_fish
ishizaki,2014,fry,100,thousand_fish
ishizaki,2014,smolt,10,thousand_fish
ishizaki,2019,fry,30,thousand_fish
kenichi,1981,fry,404,thousand_fish
kenichi,1982,fry,3,thousand_fish
kenichi,1984,fry,4,thousand_fish
kenichi,1986,fry,554,thousand_fish
kenichi,1987,fry,251,thousand_fish
kenichi,1988,fry,120,thousand_fish
kenichi,1989,fry,50,thousand_fish
kenichi,1990,fry,150,thousand_fish
kenichi,1991,fry,150,thousand_fish
kenichi,1991,smolt,42.8,thousand_fish
kenichi,1992,fry,150,thousand_fish
kenichi,1992,smolt,18.2,thousand_fish
kenichi,1993,fry,150,thousand_fish
kenichi,1993,smolt,41.6,thousand_fish
kenichi,1994,fry,50,thousand_fish
kenichi,1994,smolt,20,thousand_fish
kenichi,1995,fry,108,thousand_fish
kenichi,1995,smolt,5,thousand_fish
kenichi,1996,fry,53,thousand_fish
kenichi,1996,smolt,26.5,thousand_fish
kenichi,1997,fry,52,thousand_fish
kenichi,1997,smolt,32.6,thousand_fish
kenichi,1998,fry,39,thousand_fish
kenichi,1999,smolt,4,thousand_fish
kenichi,2000,smolt,60.9,thousand_fish
kenichi,2001,juvenile,10,thousand_fish
kenichi,2001,smolt,105.2,thousand_fish
kenichi,2002,fry,11,thousand_fish
kenichi,2002,smolt,40,thousand_fish
kenichi,2003,fry,78,thousand_fish
kenichi,2003,smolt,40.5,thousand_fish
kenichi,2004,smolt,187.20000000000002,thousand_fish
kenichi,2005,fry,45,thousand_fish
kenichi,2005,smolt,172.9,thousand_fish
kenichi,2006,fry,105,thousand_fish
kenichi,2006,smolt,258.2,thousand_fish
kenichi,2007,fry,100,thousand_fish
kenichi,2007,smolt,228.4,thousand_fish
kenichi,2008,fry,50,thousand_fish
kenichi,2008,smolt,204.1,thousand_fish
kenichi,2009,fry,90,thousand_fish
kenichi,2009,smolt,218.39999999999998,thousand_fish
kenichi,2010,fry,10,thousand_fish
kenichi,2010,smolt,359.9,thousand_fish
kenichi,2011,fry,50,thousand_fish
kenichi,2011,smolt,220.7,thousand_fish
kenichi,2012,fry,100,thousand_fish
kenichi,2012,smolt,375.6,thousand_fish
kenichi,2013,fry,50,thousand_fish
kenichi,2013,smolt,388.4,thousand_fish
kenichi,2014,fry,20,thousand_fish
kenichi,2014,smolt,228.7,thousand_fish
kenichi,2017,smolt,204.4,thousand_fish
kenichi,2019,smolt,22,thousand_fish
kenichi,2020,smolt,188,thousand_fish
kokamotsu,1978,fry,1,thousand_fish
kokamotsu,1979,fry,0,thousand_fish
kokamotsu,1981,fry,40,thousand_fish
kokamotsu,1982,fry,14,thousand_fish
kokamotsu,1983,fry,14,thousand_fish
kokamotsu,1984,fry,45,thousand_fish
kokamotsu,1985,fry,39,thousand_fish
kokamotsu,1986,fry,110,thousand_fish
kokamotsu,1987,fry,100,thousand_fish
kokamotsu,1988,fry,100,thousand_fish
kokamotsu,1990,fry,25,thousand_fish
kokamotsu,1991,fry,100,thousand_fish
kokamotsu,1993,fry,30,thousand_fish
kokamotsu,1994,fry,30,thousand_fish
kokamotsu,1995,fry,60,thousand_fish
kokamotsu,1995,smolt,5,thousand_fish
kokamotsu,1996,fry,40,thousand_fish
kokamotsu,1996,smolt,10,thousand_fish
kokamotsu,1997,smolt,10.4,thousand_fish
kokamotsu,1998,smolt,9.6,thousand_fish
kokamotsu,1999,smolt,9.8,thousand_fish
masuhoro,1971,fry,13,thousand_fish
masuhoro,1973,fry,11,thousand_fish
masuhoro,1974,fry,36,thousand_fish
masuhoro,1975,fry,43,thousand_fish
masuhoro,1976,fry,6,thousand_fish
masuhoro,1981,fry,5,thousand_fish
masuhoro,1983,fry,2,thousand_fish
masuhoro,1990,juvenile,10.1,thousand_fish
masuhoro,1991,juvenile,52.7,thousand_fish
masuhoro,1992,juvenile,28.7,thousand_fish
masuhoro,1992,smolt,17.6,thousand_fish
masuhoro,1993,juvenile,36.8,thousand_fish
masuhoro,1993,smolt,4.1,thousand_fish
masuhoro,1994,fry,14,thousand_fish
masuhoro,1994,juvenile,20,thousand_fish
masuhoro,1994,smolt,52,thousand_fish
masuhoro,1995,juvenile,20.3,thousand_fish
masuhoro,1995,smolt,12.899999999999999,thousand_fish
masuhoro,1996,juvenile,36,thousand_fish
masuhoro,1996,smolt,13.3,thousand_fish
masuhoro,1997,juvenile,40.8,thousand_fish
masuhoro,1998,juvenile,34,thousand_fish
masuhoro,2000,fry,25,thousand_fish
masuhoro,2001,fry,50,thousand_fish
masuhoro,2002,fry,50,thousand_fish
masuhoro,2003,fry,10,thousand_fish
masuhoro,2004,fry,10,thousand_fish
masuhoro,2005,fry,27,thousand_fish
mogusa,1981,fry,40,thousand_fish
mogusa,1982,fry,16,thousand_fish
mogusa,1983,fry,16,thousand_fish
mogusa,1984,fry,42,thousand_fish
mogusa,1985,fry,39,thousand_fish
mogusa,1986,fry,60,thousand_fish
mogusa,1987,fry,80,thousand_fish
mogusa,1988,fry,80,thousand_fish
mogusa,1989,fry,30,thousand_fish
mogusa,1990,fry,25,thousand_fish
mogusa,1991,fry,100,thousand_fish
mogusa,1993,fry,30,thousand_fish
mogusa,1994,fry,10,thousand_fish
mogusa,1995,fry,68,thousand_fish
mogusa,1996,fry,42,thousand_fish
nikanbetsu,1969,fry,8,thousand_fish
nikanbetsu,1970,fry,3,thousand_fish
nikanbetsu,1971,fry,7,thousand_fish
nikanbetsu,1976,fry,2,thousand_fish
nikanbetsu,1981,fry,150,thousand_fish
nikanbetsu,1982,fry,128,thousand_fish
nikanbetsu,1983,fry,128,thousand_fish
nikanbetsu,1985,fry,73,thousand_fish
nikanbetsu,1986,fry,103,thousand_fish
nikanbetsu,1987,fry,58,thousand_fish
nikanbetsu,1988,fry,35,thousand_fish
nikanbetsu,1989,fry,100,thousand_fish
nikanbetsu,1990,fry,139,thousand_fish
nikanbetsu,1991,fry,129,thousand_fish
nikanbetsu,1992,fry,150,thousand_fish
nikanbetsu,1993,fry,85,thousand_fish
nikanbetsu,1994,fry,45,thousand_fish
nikanbetsu,1995,fry,67,thousand_fish
nikanbetsu,1996,fry,40,thousand_fish
nikanbetsu,1997,fry,63,thousand_fish
nikanbetsu,1998,fry,100,thousand_fish
nikanbetsu,1999,fry,97,thousand_fish
nikanbetsu,2000,fry,50,thousand_fish
nikanbetsu,2001,fry,92,thousand_fish
nikanbetsu,2002,fry,93,thousand_fish
nikanbetsu,2003,fry,50,thousand_fish
nikanbetsu,2004,fry,60,thousand_fish
nishibetsu,1955,fry,897,thousand_fish
nishibetsu,1956,fry,595,thousand_fish
nishibetsu,1957,fry,1215,thousand_fish
nishibetsu,1958,fry,295,thousand_fish
nishibetsu,1959,fry,309,thousand_fish
nishibetsu,1960,fry,391,thousand_fish
nishibetsu,1962,fry,25,thousand_fish
nishibetsu,1964,fry,135,thousand_fish
nishibetsu,1965,fry,2,thousand_fish
nishibetsu,1966,fry,479,thousand_fish
nishibetsu,1967,fry,1664,thousand_fish
nishibetsu,1968,fry,140,thousand_fish
nishibetsu,1969,fry,159,thousand_fish
nishibetsu,1970,fry,1064,thousand_fish
nishibetsu,1971,fry,190,thousand_fish
nishibetsu,1972,fry,14,thousand_fish
nishibetsu,1973,fry,717,thousand_fish
nishibetsu,1974,fry,2400,thousand_fish
nishibetsu,1975,fry,539,thousand_fish
nishibetsu,1976,fry,355,thousand_fish
nishibetsu,1977,fry,1743,thousand_fish
nishibetsu,1978,fry,490,thousand_fish
nishibetsu,1979,fry,170,thousand_fish
nishibetsu,1980,fry,157,thousand_fish
nishibetsu,1981,fry,350,thousand_fish
nishibetsu,1982,fry,3,thousand_fish
nishibetsu,1983,fry,25,thousand_fish
nishibetsu,1984,fry,836,thousand_fish
nishibetsu,1985,fry,71,thousand_fish
nishibetsu,1986,fry,147,thousand_fish
nishibetsu,1987,fry,581,thousand_fish
nishibetsu,1988,fry,215,thousand_fish
nishibetsu,1989,fry,247,thousand_fish
nishibetsu,1990,fry,0,thousand_fish
nishibetsu,1990,juvenile,47.6,thousand_fish
nishibetsu,1991,fry,44,thousand_fish
nishibetsu,1992,fry,31,thousand_fish
nishibetsu,1993,fry,203,thousand_fish
nishibetsu,1994,fry,91,thousand_fish
nishibetsu,1995,fry,607,thousand_fish
nishibetsu,1996,fry,234,thousand_fish
nishibetsu,1997,fry,115,thousand_fish
nishibetsu,1998,fry,200,thousand_fish
nishibetsu,1999,fry,177,thousand_fish
nobusha,1973,fry,100,thousand_fish
nobusha,1974,fry,150,thousand_fish
nobusha,1975,fry,127,thousand_fish
nobusha,1976,fry,154,thousand_fish
nobusha,1977,fry,152,thousand_fish
nobusha,1978,fry,160,thousand_fish
nobusha,1979,fry,158,thousand_fish
nobusha,1980,fry,158,thousand_fish
nobusha,1981,fry,140,thousand_fish
nobusha,1982,fry,77,thousand_fish
nobusha,1983,fry,98,thousand_fish
nobusha,1984,fry,90,thousand_fish
nobusha,1986,fry,261,thousand_fish
nobusha,1987,fry,180,thousand_fish
nobusha,1988,fry,167,thousand_fish
nobusha,1989,fry,82,thousand_fish
nobusha,1991,smolt,29.8,thousand_fish
nobusha,1993,fry,30,thousand_fish
nobusha,1993,juvenile,33.5,thousand_fish
nobusha,1993,smolt,3.1,thousand_fish
nobusha,1994,fry,195,thousand_fish
nobusha,1994,smolt,3.1,thousand_fish
nobusha,1995,fry,200,thousand_fish
nobusha,1995,juvenile,62,thousand_fish
nobusha,1996,fry,280,thousand_fish
nobusha,1996,juvenile,60,thousand_fish
nobusha,1997,fry,400,thousand_fish
nobusha,1997,smolt,401.4,thousand_fish
nobusha,1998,fry,247,thousand_fish
nobusha,1998,juvenile,20,thousand_fish
nobusha,1998,smolt,306.9,thousand_fish
nobusha,1999,juvenile,79.6,thousand_fish
nobusha,1999,smolt,292.9,thousand_fish
nobusha,2000,fry,200,thousand_fish
nobusha,2000,juvenile,80,thousand_fish
nobusha,2000,smolt,340,thousand_fish
nobusha,2001,fry,1230,thousand_fish
nobusha,2001,smolt,483,thousand_fish
nobusha,2002,fry,250,thousand_fish
nobusha,2002,smolt,27.9,thousand_fish
nobusha,2003,fry,502,thousand_fish
nobusha,2004,fry,507,thousand_fish
nobusha,2005,fry,301,thousand_fish
nobusha,2007,fry,51,thousand_fish
nobusha,2008,fry,128,thousand_fish
nobusha,2009,fry,199,thousand_fish
okushibetsu,1977,fry,35,thousand_fish
okushibetsu,1978,fry,47,thousand_fish
okushibetsu,1979,fry,30,thousand_fish
onnebetsu,1976,fry,6,thousand_fish
onnebetsu,1977,fry,105,thousand_fish
onnebetsu,1978,fry,100,thousand_fish
onnebetsu,1979,fry,135,thousand_fish
onnebetsu,1980,fry,29,thousand_fish
onnebetsu,1981,fry,52,thousand_fish
onnebetsu,1983,fry,8,thousand_fish
onnebetsu,1984,fry,5,thousand_fish
onnebetsu,1985,fry,1,thousand_fish
onnebetsu,1989,fry,3,thousand_fish
ookamotsu,1981,fry,70,thousand_fish
ookamotsu,1982,fry,25,thousand_fish
ookamotsu,1983,fry,25,thousand_fish
ookamotsu,1984,fry,65,thousand_fish
ookamotsu,1985,fry,54,thousand_fish
ookamotsu,1986,fry,80,thousand_fish
ookamotsu,1987,fry,80,thousand_fish
ookamotsu,1988,fry,80,thousand_fish
ookamotsu,1989,fry,50,thousand_fish
ookamotsu,1990,fry,25,thousand_fish
ookamotsu,1991,fry,50,thousand_fish
ookamotsu,1993,fry,30,thousand_fish
ookamotsu,1994,fry,50,thousand_fish
ookamotsu,1995,fry,69,thousand_fish
ookamotsu,1996,fry,40,thousand_fish
oyobe,1981,fry,122,thousand_fish
oyobe,1982,fry,145,thousand_fish
oyobe,1983,fry,145,thousand_fish
oyobe,1985,fry,47,thousand_fish
oyobe,1986,fry,80,thousand_fish
oyobe,1987,fry,80,thousand_fish
oyobe,1988,fry,80,thousand_fish
oyobe,1989,fry,20,thousand_fish
oyobe,1990,fry,25,thousand_fish
oyobe,1991,fry,100,thousand_fish
oyobe,1993,fry,30,thousand_fish
oyobe,1994,fry,30,thousand_fish
oyobe,1995,fry,68,thousand_fish
oyobe,1996,fry,42,thousand_fish
oyobe,2005,fry,100,thousand_fish
oyobe,2006,fry,34,thousand_fish
oyobe,2007,fry,61,thousand_fish
oyobe,2008,fry,61,thousand_fish
oyobe,2009,fry,60,thousand_fish
oyobe,2010,fry,60,thousand_fish
oyobe,2011,fry,50,thousand_fish
oyobe,2012,fry,50,thousand_fish
oyobe,2013,fry,70,thousand_fish
oyobe,2013,smolt,8.4,thousand_fish
oyobe,2014,fry,70,thousand_fish
oyobe,2015,fry,40,thousand_fish
oyobe,2019,fry,38,thousand_fish
shakotan,1981,fry,275,thousand_fish
shakotan,1982,fry,320,thousand_fish
shakotan,1983,fry,320,thousand_fish
shakotan,1984,fry,33,thousand_fish
shakotan,1985,fry,100,thousand_fish
shakotan,1986,fry,84,thousand_fish
shakotan,1987,fry,180,thousand_fish
shiotomari,1970,fry,200,thousand_fish
shiotomari,1971,fry,89,thousand_fish
shiotomari,1972,fry,11,thousand_fish
shiotomari,1974,fry,0,thousand_fish
shiotomari,1975,fry,304,thousand_fish
shiotomari,1976,fry,200,thousand_fish
shiotomari,1977,fry,212,thousand_fish
shiotomari,1978,fry,60,thousand_fish
shiotomari,1979,fry,123,thousand_fish
shiotomari,1980,fry,303,thousand_fish
shiotomari,1981,fry,556,thousand_fish
shiotomari,1982,fry,500,thousand_fish
shiotomari,1983,fry,700,thousand_fish
shiotomari,1985,fry,306,thousand_fish
shiotomari,1986,fry,340,thousand_fish
shiotomari,1987,fry,170,thousand_fish
shiotomari,1988,fry,150,thousand_fish
shiotomari,1989,fry,120,thousand_fish
shiotomari,1992,juvenile,59.5,thousand_fish
shiotomari,1993,juvenile,14,thousand_fish
shiotomari,1996,smolt,2.6,thousand_fish
shiotomari,1997,smolt,18.9,thousand_fish
shiotomari,1998,fry,61,thousand_fish
shiotomari,1998,smolt,16.5,thousand_fish
shiotomari,1999,fry,52,thousand_fish
shiotomari,2000,fry,50,thousand_fish
shiotomari,2001,fry,50,thousand_fish
shiotomari,2002,fry,50,thousand_fish
shiotomari,2003,fry,50,thousand_fish
shiotomari,2004,fry,95,thousand_fish
shiotomari,2005,fry,120,thousand_fish
shiotomari,2006,fry,76,thousand_fish
shiotomari,2007,fry,206,thousand_fish
shiotomari,2008,fry,118,thousand_fish
shiotomari,2009,fry,101,thousand_fish
shiotomari,2010,fry,103,thousand_fish
shiotomari,2011,fry,100,thousand_fish
shiotomari,2012,fry,100,thousand_fish
shiotomari,2013,fry,100,thousand_fish
shiotomari,2013,smolt,8.4,thousand_fish
shiotomari,2014,fry,110,thousand_fish
shiotomari,2015,fry,80,thousand_fish
shiotomari,2019,fry,68,thousand_fish
shokanbetsu,1955,fry,80,thousand_fish
shokanbetsu,1971,fry,111,thousand_fish
shokanbetsu,1972,fry,82,thousand_fish
shokanbetsu,1974,fry,250,thousand_fish
shokanbetsu,1975,fry,206,thousand_fish
shokanbetsu,1976,fry,41,thousand_fish
shokanbetsu,1977,fry,58,thousand_fish
shokanbetsu,1978,fry,37,thousand_fish
shokanbetsu,1980,fry,132,thousand_fish
shokanbetsu,1981,fry,97,thousand_fish
shokanbetsu,1982,fry,41,thousand_fish
shokanbetsu,1983,fry,11,thousand_fish
shokanbetsu,1984,fry,55,thousand_fish
shokanbetsu,1986,fry,342,thousand_fish
shokanbetsu,1987,fry,178,thousand_fish
shokanbetsu,1988,fry,33,thousand_fish
shokanbetsu,1994,fry,44,thousand_fish
shokanbetsu,1996,fry,33,thousand_fish
