river,site,frac_forest,frac_urban,frac_agri,temp,ppt,area
toshibetsu,2,0.9746358394622803,9.488281648373231e-6,0.005877841729670763,8.879692077636719,1191.3033447265625,25.6121613101111
toshibetsu,3,0.9752795100212097,3.7148018600419164e-4,0.0058058504946529865,8.993370056152344,1183.7957763671875,26.919336088118
toshibetsu,4,0.8685417175292969,0,0.012057916261255741,6.363664245605469,1269.667724609375,11.3047984836929
toshibetsu,5,0.9571213722229004,0,0.004817935638129711,8.83072509765625,1249.4449462890625,35.4643199322724
usubetsu,1,0.9904524087905884,0,0.00791078619658947,8.93033447265625,1291.4501953125,28.6897336587045
usubetsu,2,1,0,0,9.178764343261719,1239.046142578125,6.94491070556886
usubetsu,3,1,0,0,8.728491973876954,1250.4307861328125,3.43136282134445
utabetsu,1,0.984617292881012,0,0.013979380019009113,8.178604888916016,1841.227294921875,7.12596902076049
utabetsu,2,0.9067366719245911,0,0.0685691311955452,8.311290740966797,1803.1925048828125,3.02726518903751
utabetsu,3,1,0,0,7.888632202148438,1874.8121337890625,7.98704801404546
utabetsu,4,0.9614561200141907,8.580650319345295e-4,0.02687157690525055,8.6073974609375,1666.796875,23.3082568707635
yamubetsu,1,1,0,0,6.07354850769043,814.94903564453125,15.4203435260756
yamubetsu,2,0.9155877828598022,0.0056616333313286304,0.07525194436311722,6.579376220703125,808.94305419921875,46.3950488876223
yamubetsu,3,0.9389958381652832,0.0034762434661388397,0.054019954055547714,6.569497680664063,778.942138671875,61.5924812710601
yobetsu,1,0.9341318011283875,0,0.01316296961158514,7.394808959960938,1476.4127197265625,33.3351613334408
yobetsu,2,0.9493942856788635,0,0.010112947784364223,8.487580871582031,1428.6837158203125,43.3888998948313
