response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive,n_total_mcmc,n_sample,n_thin,n_burn
mu,sigma_r,0.45494177042666667,0.1157901852152503,0.23911167500000002,0.449807,0.6889260999999998,1,1419,1,15000,500,20,5000
mu,b_raw[1],-0.9185982546666667,0.14098859987459816,-1.20054625,-0.918318,-0.6345398250000001,1,1500,0,15000,500,20,5000
mu,b_raw[2],-0.0026663925414666667,0.0014585151129869714,-0.005519785,-0.00266295,1.4664659999999875e-4,1,1500,0.03666666666666667,15000,500,20,5000
sigma,b[1],-2.3310829933333332,0.11123470251110987,-2.56057325,-2.32733,-2.1053145000000004,1,1468,0,15000,500,20,5000
sigma,b[2],0.002440059901133333,0.12112258796172987,-0.224371525,0.0027716399999999997,0.2581680499999991,1,1625,0.5093333333333333,15000,500,20,5000
sigma,b[3],-0.037904982362666664,0.16312809161657282,-0.345667575,-0.03937975,0.2939237249999996,1,1638,0.4053333333333333,15000,500,20,5000
sigma,a[1],-0.091822557662,0.09190828289727511,-0.2713508,-0.0920632,0.07981499499999994,1,1423,0.17333333333333334,15000,500,20,5000
sigma,a[2],0.28849792044266664,0.12884372510907768,0.0453319825,0.28634550000000003,0.5464138999999997,1,1500,0.99,15000,500,20,5000
sigma,a[3],-0.1074765899,0.12886731123156953,-0.371424325,-0.104025,0.1426362,1,1864,0.20066666666666666,15000,500,20,5000
sigma,a[4],0.34291101001133334,0.17086763598721308,0.0053832397500000045,0.336567,0.678574175,1.01,1585,0.9773333333333334,15000,500,20,5000
sigma,sigma,0.7772527966666667,0.07000691459520325,0.653159975,0.7729545,0.9203466249999999,1,1500,1,15000,500,20,5000
sigma,sigma_r,0.37591670520666665,0.17605723518846175,0.042583797500000006,0.371405,0.7298445499999999,1,1407,1,15000,500,20,5000
sigma,b_raw[1],-2.333015006666667,0.1492619803336247,-2.62796725,-2.33357,-2.0330872500000003,1,1618,0,15000,500,20,5000
sigma,b_raw[2],3.1761441962e-5,0.0015766188404539082,-0.0029205807499999995,3.60777e-5,0.0033605002499999884,1,1625,0.5093333333333333,15000,500,20,5000
