river,year_release,abundance,abundance_unit,release_stage
shokanbetsu,1986,342,thousand_fish,fry
ishizaki,1986,550,thousand_fish,fry
usubetsu,1986,80,thousand_fish,fry
utabetsu,1986,59,thousand_fish,fry
ookamotsu,1986,80,thousand_fish,fry
oyobe,1986,80,thousand_fish,fry
kenichi,1986,554,thousand_fish,fry
kokamotsu,1986,30,thousand_fish,fry
kokamotsu,1986,80,thousand_fish,fry
shiotomari,1986,40,thousand_fish,fry
shiotomari,1986,300,thousand_fish,fry
shakotan,1986,84,thousand_fish,fry
nobusha,1986,261,thousand_fish,fry
chihase,1986,253,thousand_fish,fry
futoro,1986,220,thousand_fish,fry
toppu,1986,170,thousand_fish,fry
yamubetsu,1986,50,thousand_fish,fry
tomari,1986,210,thousand_fish,fry
nikanbetsu,1986,103,thousand_fish,fry
nishibetsu,1986,147,thousand_fish,fry
haraki,1986,60,thousand_fish,fry
hime,1986,70,thousand_fish,fry
furuu,1986,152,thousand_fish,fry
mogusa,1986,60,thousand_fish,fry
yobetsu,1986,80,thousand_fish,fry
ishizaki,1987,200,thousand_fish,fry
usubetsu,1987,90,thousand_fish,fry
utabetsu,1987,4,thousand_fish,fry
ookamotsu,1987,80,thousand_fish,fry
oyobe,1987,80,thousand_fish,fry
kenichi,1987,251,thousand_fish,fry
kokamotsu,1987,20,thousand_fish,fry
kokamotsu,1987,80,thousand_fish,fry
shiotomari,1987,170,thousand_fish,fry
shakotan,1987,180,thousand_fish,fry
shokanbetsu,1987,178,thousand_fish,fry
nobusha,1987,180,thousand_fish,fry
chihase,1987,180,thousand_fish,fry
futoro,1987,270,thousand_fish,fry
toppu,1987,200,thousand_fish,fry
tomari,1987,180,thousand_fish,fry
nikanbetsu,1987,58,thousand_fish,fry
nishibetsu,1987,512,thousand_fish,fry
nishibetsu,1987,69,thousand_fish,fry
haraki,1987,80,thousand_fish,fry
hime,1987,100,thousand_fish,fry
furuu,1987,200,thousand_fish,fry
furuu,1987,200,thousand_fish,fry
mogusa,1987,80,thousand_fish,fry
yobetsu,1987,120,thousand_fish,fry
shokanbetsu,1988,33,thousand_fish,fry
ishizaki,1988,220,thousand_fish,fry
usubetsu,1988,80,thousand_fish,fry
utabetsu,1988,32,thousand_fish,fry
utabetsu,1988,20,thousand_fish,fry
ookamotsu,1988,80,thousand_fish,fry
oyobe,1988,80,thousand_fish,fry
kenichi,1988,120,thousand_fish,fry
kokamotsu,1988,20,thousand_fish,fry
kokamotsu,1988,80,thousand_fish,fry
shiotomari,1988,150,thousand_fish,fry
chihase,1988,160,thousand_fish,fry
futoro,1988,180,thousand_fish,fry
toppu,1988,80,thousand_fish,fry
tomari,1988,160,thousand_fish,fry
nikanbetsu,1988,35,thousand_fish,fry
nishibetsu,1988,215,thousand_fish,fry
nobusha,1988,167,thousand_fish,fry
haraki,1988,80,thousand_fish,fry
hime,1988,100,thousand_fish,fry
furuu,1988,38,thousand_fish,fry
furuu,1988,100,thousand_fish,fry
furuu,1988,30,thousand_fish,fry
mogusa,1988,80,thousand_fish,fry
yobetsu,1988,145,thousand_fish,fry
yobetsu,1988,35,thousand_fish,fry
ishizaki,1989,530,thousand_fish,fry
utabetsu,1989,60,thousand_fish,fry
utabetsu,1989,40,thousand_fish,fry
ookamotsu,1989,50,thousand_fish,fry
oyobe,1989,20,thousand_fish,fry
kenichi,1989,50,thousand_fish,fry
furuu,1989,95,thousand_fish,fry
shiotomari,1989,120,thousand_fish,fry
chihase,1989,120,thousand_fish,fry
onnebetsu,1989,3,thousand_fish,fry
tomari,1989,110,thousand_fish,fry
nikanbetsu,1989,60,thousand_fish,fry
nikanbetsu,1989,40,thousand_fish,fry
nishibetsu,1989,247,thousand_fish,fry
nobusha,1989,82,thousand_fish,fry
haraki,1989,20,thousand_fish,fry
hime,1989,50,thousand_fish,fry
furuu,1989,45,thousand_fish,fry
mogusa,1989,30,thousand_fish,fry
utabetsu,1990,50,thousand_fish,fry
ookamotsu,1990,25,thousand_fish,fry
oyobe,1990,25,thousand_fish,fry
kenichi,1990,150,thousand_fish,fry
kokamotsu,1990,25,thousand_fish,fry
chihase,1990,90,thousand_fish,fry
futoro,1990,780,thousand_fish,fry
toppu,1990,50,thousand_fish,fry
tomari,1990,80,thousand_fish,fry
tomari,1990,100,thousand_fish,fry
nikanbetsu,1990,125,thousand_fish,fry
nikanbetsu,1990,14,thousand_fish,fry
nishibetsu,1990,0,thousand_fish,fry
hime,1990,50,thousand_fish,fry
furuu,1990,150,thousand_fish,fry
mogusa,1990,25,thousand_fish,fry
yobetsu,1990,230,thousand_fish,fry
toshibetsu,1990,810,thousand_fish,fry
ishizaki,1991,700,thousand_fish,fry
utabetsu,1991,101,thousand_fish,fry
ookamotsu,1991,50,thousand_fish,fry
oyobe,1991,100,thousand_fish,fry
kenichi,1991,150,thousand_fish,fry
kokamotsu,1991,100,thousand_fish,fry
mogusa,1991,100,thousand_fish,fry
chihase,1991,100,thousand_fish,fry
yamubetsu,1991,40,thousand_fish,fry
tomari,1991,140,thousand_fish,fry
nikanbetsu,1991,129,thousand_fish,fry
nishibetsu,1991,44,thousand_fish,fry
hidakahorobetsu,1991,110,thousand_fish,fry
hidakahorobetsu,1991,90,thousand_fish,fry
hidakahorobetsu,1991,71,thousand_fish,fry
furuu,1991,158,thousand_fish,fry
furuu,1991,90,thousand_fish,fry
yobetsu,1991,100,thousand_fish,fry
utabetsu,1992,44,thousand_fish,fry
utabetsu,1992,57,thousand_fish,fry
utabetsu,1992,45,thousand_fish,fry
kenichi,1992,50,thousand_fish,fry
kenichi,1992,50,thousand_fish,fry
kenichi,1992,50,thousand_fish,fry
chihase,1992,17,thousand_fish,fry
chihase,1992,72,thousand_fish,fry
futoro,1992,520,thousand_fish,fry
toshibetsu,1992,430,thousand_fish,fry
tomari,1992,40,thousand_fish,fry
nikanbetsu,1992,150,thousand_fish,fry
nishibetsu,1992,31,thousand_fish,fry
hidakahorobetsu,1992,145,thousand_fish,fry
furuu,1992,50,thousand_fish,fry
furuu,1992,40,thousand_fish,fry
furuu,1992,17,thousand_fish,fry
yobetsu,1992,70,thousand_fish,fry
ishizaki,1993,150,thousand_fish,fry
utabetsu,1993,55,thousand_fish,fry
ookamotsu,1993,30,thousand_fish,fry
oyobe,1993,30,thousand_fish,fry
kenichi,1993,50,thousand_fish,fry
kenichi,1993,50,thousand_fish,fry
kenichi,1993,50,thousand_fish,fry
kokamotsu,1993,30,thousand_fish,fry
chihase,1993,20,thousand_fish,fry
toshibetsu,1993,110,thousand_fish,fry
tomari,1993,37,thousand_fish,fry
tomari,1993,20,thousand_fish,fry
nikanbetsu,1993,85,thousand_fish,fry
nishibetsu,1993,203,thousand_fish,fry
nobusha,1993,30,thousand_fish,fry
hidakahorobetsu,1993,104,thousand_fish,fry
furuu,1993,6,thousand_fish,fry
mogusa,1993,30,thousand_fish,fry
yobetsu,1993,20,thousand_fish,fry
ishizaki,1994,50,thousand_fish,fry
ishizaki,1994,100,thousand_fish,fry
usubetsu,1994,50,thousand_fish,fry
utabetsu,1994,82,thousand_fish,fry
ookamotsu,1994,50,thousand_fish,fry
oyobe,1994,30,thousand_fish,fry
kenichi,1994,50,thousand_fish,fry
kokamotsu,1994,30,thousand_fish,fry
shokanbetsu,1994,44,thousand_fish,fry
chihase,1994,100,thousand_fish,fry
futoro,1994,150,thousand_fish,fry
toppu,1994,10,thousand_fish,fry
tomari,1994,102,thousand_fish,fry
tomari,1994,100,thousand_fish,fry
nikanbetsu,1994,45,thousand_fish,fry
nishibetsu,1994,91,thousand_fish,fry
nobusha,1994,195,thousand_fish,fry
hidakahorobetsu,1994,178,thousand_fish,fry
hidakahorobetsu,1994,60,thousand_fish,fry
hime,1994,10,thousand_fish,fry
furuu,1994,4,thousand_fish,fry
